,title,author,date,INSPEC,DOI,citations,publisher,url
58,Privacy-aware blockchain innovation for 6G:Challenges and opportunities,"T. Nguyen, N. Tran, L. Loven, J. Partala, M. Kechadi, andS. Pirttikangas, ",,0,,0,,
59,Blockchain for Internet of Things:A survey,"H.-N. Dai, Z. Zheng, and Y. Zhang, ",,0,,0,,
60,Joint 3D UAV placement andresource allocation in software-defined cellular networks with wirelessbackhaul,"C. Pan, J. Yi, C. Yin, J. Yu, and X. Li, ",08 August 2019,18880599,10.1109/ACCESS.2019.2927521,19,IEEE,https://ieeexplore.ieee.org/abstract/document/8758934/
61,Beyond 5G with UAVs: Foundations of a 3D wireless cellularnetwork,"M. Mozaffari, A. T. Z. Kasgari, W. Saad, M. Bennis, and M. Debbah,",08 January 2019,18392491,10.1109/TWC.2018.2879940,194,IEEE,https://ieeexplore.ieee.org/iel7/7693/8605558/08533634.pdf
62,What should 6Gbe,"S. Dang, O. Amin, B. Shihada, and M.-S. Alouini, ",,0,,0,,
63,A surveyon green 6G network: Architecture and technologies,"T. Huang, W. Yang, J. Wu, J. Ma, X. Zhang, and D. Zhang, ",12 December 2019,19177825,10.1109/ACCESS.2019.2957648,123,IEEE,https://ieeexplore.ieee.org/document/8922617
64,Wireless communicationswith unmanned aerial vehicles: Opportunities and challenges,"Y. Zeng, R. Zhang, and T. J. Lim, ",18 May 2016,16002751,10.1109/MCOM.2016.7470933,1867,IEEE,https://ieeexplore.ieee.org/document/7470933
65,Wireless informationand energy transfer in interference aware massive MIMO systems,"H. Wang, W. Wang, X. Chen, and Z. Zhang, ",12 February 2015,14919258,10.1109/GLOCOM.2014.7037192,17,IEEE,https://ieeexplore.ieee.org/document/7037192?arnumber=7037192
66,Joint state sensing andcommunication: Optimal tradeoff for a memoryless case,"M. Kobayashi, G. Caire, and G. Kramer, ",,0,,0,,
67,AI-assisted network-slicing based next-generationwireless networks,"X. Shen et al., ",03 February 2020,19387591,10.1109/OJVT.2020.2965100,90,IEEE,https://ieeexplore.ieee.org/document/8954683
68,Ambient backscatter: Wireless communication out of thin air,"V. Liu, A. Parks, V. Talla, S. Gollakota, D. Wetherall, and J. R. Smith,",,0,,0,,
69,Non-coherent and backscatter communications:Enabling ultra-massive connectivity in the era beyond 5G,"S. J. Nawaz, S. K. Sharma, B. Mansoor, M. N. Patwary, andN. M. Khan, ",,0,,0,,
70,"An incentive mechanism integrating jointpower, channel and link management for social-aware D2D contentsharing and proactive caching","C. Yi, S. Huang, and J. Cai, ",05 March 2018,17630120,10.1109/TMC.2017.2741481,49,IEEE,https://ieeexplore.ieee.org/document/8013127
71,On the effect of temporal correlation onjoint success probability and distribution of number of interferers inmobile UAV networks,"M. Salehi and E. Hossain, ",09 December 2019,19195545,10.1109/LWC.2019.2932435,4,IEEE,https://ieeexplore.ieee.org/iel7/5962382/6065724/08784235.pdf
72,Expedited neighbor discovery in direc-tional terahertz communication networks enhanced by antenna side-lobe information,"Q. Xia and J. M. Jornet, ",13 August 2019,18905432,10.1109/TVT.2019.2924820,23,IEEE,https://ieeexplore.ieee.org/document/8746670
73,"The D-OMA method for massivemultiple access in 6G: Performance, security, and challenges","Y. Al-Eryani and E. Hossain, ",19 August 2019,18905206,10.1109/MVT.2019.2919279,39,IEEE,http://ieeexplore.ieee.org/document/8760269/
74,"Flexible radio access beyond5G: A future projection on waveform, numerology, and frame designprinciples","Z. E. Ankarali, B. Peköz, and H. Arslan, ",26 September 2017,17246407,10.1109/ACCESS.2017.2684783,120,IEEE,http://ieeexplore.ieee.org/document/7883931/
75,Airplane-aided integrated networking for 6G wireless: Will it work,"X. Huang, J. A. Zhang, R. P. Liu, Y. J. Guo, and L. Hanzo, ",19 August 2019,18905209,10.1109/MVT.2019.2921244,67,IEEE,https://ieeexplore.ieee.org/document/8760401
76,6Genesis flagshipprogram: Building the bridges towards 6G-enabled wireless smartsociety and ecosystem,"M. Katz, M. Matinmikko-Blue, and M. Latva-Aho, ",,0,,0,,
77,Recent advances in connected andautomated vehicles,"D. Elliott, W. Keen, and L. Miao, ",,0,,0,,
78,6G: Connecting everything by1000 times price reduction,"S. Zhang, C. Xiang, and S. Xu, ",30 April 2020,19582160,10.1109/OJVT.2020.2980003,30,IEEE,https://ieeexplore.ieee.org/document/9034074
79,"6G:Opening new horizons for integration of comfort, security andintelligence","G. Gui, M. Liu, F. Tang, N. Kato, and F. Adachi, ",28 October 2020,20095341,10.1109/MWC.001.1900516,179,IEEE,https://ieeexplore.ieee.org/document/9023459
80,"6G visions: Mobile ultra-broadband, super Internet-of-Things, and artificial intelligence","L. Zhang, Y. Liang, and D. Niyato, ",,0,,0,,
81,Toward the6G network era: Opportunities and challenges,"I. Tomkos, D. Klonidis, E. Pikasis, and S. Theodoridis, ",,0,,0,,
82,A key 6G challenge and opportunity—Connecting the base of the pyramid: A survey on rural connectivity,"E. Yaacoub and M. Alouini, ",13 April 2020,19527855,10.1109/JPROC.2020.2976703,76,IEEE,https://ieeexplore.ieee.org/document/9042251
83,AI-based joint optimizationof QoS and security for 6G energy harvesting Internet ofThings,"B. Mao, Y. Kawamoto, and N. Kato, ",12 August 2020,19869379,10.1109/JIOT.2020.2982417,46,IEEE,https://ieeexplore.ieee.org/document/9044345
84,Artificial intelligence-enabled cellular networks: A critical pathto beyond-5G and 6G,"R. Shafin, L. Liu, V. Chandrasekhar, H. Chen, J. Reed, and J. C. Zhang,",13 May 2020,19590614,10.1109/MWC.001.1900323,69,IEEE,http://ieeexplore.ieee.org/document/9040202/
85,Deeplearning-based mmWave beam selection for 5G NR/6G with sub-6 GHz channel information: Algorithms and prototype validation,"M. S. Sim, Y. Lim, S. H. Park, L. Dai, and C. Chae, ",19 March 2020,19464155,10.1109/ACCESS.2020.2980285,50,IEEE,https://ieeexplore.ieee.org/abstract/document/9034044
86,Future intelligent andsecure vehicular network toward 6G: Machine-learning approaches,"F. Tang, Y. Kawamoto, N. Kato, and J. Liu, ",23 January 2020,19296586,10.1109/JPROC.2019.2954595,194,IEEE,https://ieeexplore.ieee.org/document/8926369
87,HetMEC:Heterogeneous multi-layer mobile edge computing in the 6G era,"Y. Zhang, B. Di, P. Wang, J. Lin, and L. Song, ",16 April 2020,19626198,10.1109/TVT.2020.2975559,25,IEEE,https://ieeexplore.ieee.org/document/9006930
88,Propagationproperties of sub-millimeter waves in foggy conditions,"Y. Golovachev, A. Etinger, G. A. Pinhasi, and Y. Pinhasi, ",,0,,0,,
