,title,author,date,INSPEC,DOI,citations,publisher,url,keywords
12,Theroadmap to 6G: AI empowered wireless networks,"K. B. Letaief, W. Chen, Y. Shi, J. Zhang, and Y. A. Zhang, ",21 August 2019,18937666,10.1109/MCOM.2019.1900271,554,IEEE,https://ieeexplore.ieee.org/document/8808168,NaN
13,Artificial intelligence-based resource allocation inultradense networks: Applying event-triggered Q-learning algorithms,"H. Zhang, M. Feng, K. Long, G. K. Karagiannidis, andA. Nallanathan, ",20 November 2019,0,10.1109/MVT.2019.2938328,12,IEEE,https://ieeexplore.ieee.org/document/8871153,NaN
14,Interferencemanagement based on RT/nRT traffic classification for FFR-aidedsmall cell/macrocell heterogeneous networks,"M. Z. Chowdhury, M. T. Hossan, and Y. M. Jang, ",29 June 2018,17905713,10.1109/ACCESS.2018.2844843,12,IEEE,https://ieeexplore.ieee.org/document/8400388,NaN
15,Game-based approach for QoS provisioning and interference managementin heterogeneous networks,"A. S. M. Zadid Shifat, M. Z. Chowdhury, and Y. M. Jang, ",13 March 2018,17627839,10.1109/ACCESS.2017.2704094,11,IEEE,https://ieeexplore.ieee.org/document/7936481,NaN
16,Impact of small cells overlappingon mobility management,"A. J. Mahbas, H. Zhu, and J. Wang, ",06 May 2019,18470423,10.1109/TWC.2018.2889465,10,IEEE,https://ieeexplore.ieee.org/document/8605528,NaN
17,Joint cell activation and selectionfor green communications in ultra-dense heterogeneous networks,"T. Zhou, N. Jiang, Z. Liu, and C. Li, ",14 February 2018,17573777,10.1109/ACCESS.2017.2780818,29,IEEE,https://ieeexplore.ieee.org/document/8169674,NaN
18,Future ofultra-dense networks beyond 5G: Harnessing heterogeneous movingcells,"S. Andreev, V. Petrov, M. Dohler, and H. Yanikomeroglu, ",18 June 2019,18757658,10.1109/MCOM.2019.1800056,60,IEEE,https://ieeexplore.ieee.org/document/8722593,NaN
19,6G wireless communica-tions: Vision and potential techniques,"P. Yang, Y. Xiao, M. Xiao, and S. Li, ",31 July 2019,18881530,10.1109/MNET.2019.1800418,295,IEEE,https://ieeexplore.ieee.org/document/8782879,NaN
20,Acomparative survey of optical wireless technologies: Architectures andapplications,"M. Z. Chowdhury, M. T. Hossan, A. Islam, and Y. Min Jang, ",13 March 2018,17649076,10.1109/ACCESS.2018.2792419,218,IEEE,https://ieeexplore.ieee.org/document/8259465,NaN
21,Wireless communications and applicationsabove 100 GHz: Opportunities and challenges for 6G and beyond,"T. S. Rappaport et al., ",25 June 2019,18770124,10.1109/ACCESS.2019.2921522,539,IEEE,https://ieeexplore.ieee.org/document/8732419,NaN
22,"Optical wireless hybrid networks: Trends, opportunities,challenges, and research directions","M. Z. Chowdhury, M. K. Hasan, M. Shahjalal, M. T. Hossan andY. M. Jang, ",27 May 2020,19649690,10.1109/COMST.2020.2966855,55,IEEE,http://ieeexplore.ieee.org/document/8960379,NaN
23,"Human bond communication with head-mounted displays: Scope,challenges, solutions, and applications","M. T. Hossan, M. Z. Chowdhury, M. Shahjalal, and Y. M. Jang,",21 February 2019,18470651,10.1109/MCOM.2018.1800527,14,IEEE,https://ieeexplore.ieee.org/document/8647107,NaN
24,Network topology reconfig-uration for FSO-based fronthaul/backhaul in 5G+ wireless networks,"Z. Gu, J. Zhang, Y. Ji, L. Bai, and X. Sun, ",04 December 2018,18495784,10.1109/ACCESS.2018.2880880,25,IEEE,https://ieeexplore.ieee.org/document/8532444,NaN
25,Hybridradio/free-space optical design for next generation backhaul systems,"A. Douik, H. Dahrouj, T. Y. Al-Naffouri, and M. Alouini, ",14 June 2016,16073095,10.1109/TCOMM.2016.2557789,48,IEEE,https://ieeexplore.ieee.org/document/7458183,NaN
26,Performance analysis of hybrid FSO systems using FSO/RF-FSOlink adaptation,"B. Bag, A. Das, I. S. Ansari, A. Prokeš, C. Bose, and A. Chandra,",26 June 2018,17867553,10.1109/JPHOT.2018.2837356,44,IEEE,https://ieeexplore.ieee.org/document/8360015,NaN
27,Fronthauling for 5G LTE-U ultra dense cloud small cell networks,"H. Zhang, Y. Dong, J. Cheng, M. J. Hossain, and V. C. M. Leung,",10 January 2017,16597965,10.1109/MWC.2016.1600066WC,186,IEEE,https://ieeexplore.ieee.org/document/7811838,NaN
28,Modified conjugate beam-forming for cell-free massive MIMO,"M. Attarifar, A. Abbasfar, and A. Lozano, ",06 May 2019,18598658,10.1109/LWC.2018.2890470,36,IEEE,https://ieeexplore.ieee.org/document/8599043,NaN
29,Wireless communications through reconfigurableintelligent surfaces,"E. Basar, M. Di Renzo, J. de Rosny, M. Debbah, M. Alouini,and R. Zhang, ",28 August 2019,18929395,10.1109/ACCESS.2019.2935192,718,IEEE,https://ieeexplore.ieee.org/document/8796365,NaN
30,Blockchain access privacy:Challenges and directions,"R. Henry, A. Herzberg, and A. Kate, ",06 August 2018,18023283,10.1109/MSP.2018.3111245,106,IEEE,https://ieeexplore.ieee.org/document/8425613,NaN
31,Joint 3D UAV placement andresource allocation in software-defined cellular networks with wirelessbackhaul,"C. Pan, J. Yi, C. Yin, J. Yu, and X. Li, ",08 August 2019,18880599,10.1109/ACCESS.2019.2927521,19,IEEE,https://ieeexplore.ieee.org/abstract/document/8758934/,NaN
32,Beyond 5G with UAVs: Foundations of a 3D wireless cellularnetwork,"M. Mozaffari, A. T. Z. Kasgari, W. Saad, M. Bennis, and M. Debbah,",08 January 2019,18392491,10.1109/TWC.2018.2879940,196,IEEE,https://ieeexplore.ieee.org/iel7/7693/8605558/08533634.pdf,NaN
33,A surveyon green 6G network: Architecture and technologies,"T. Huang, W. Yang, J. Wu, J. Ma, X. Zhang, and D. Zhang, ",12 December 2019,19177825,10.1109/ACCESS.2019.2957648,124,IEEE,https://ieeexplore.ieee.org/document/8922617,NaN
34,Wireless communicationswith unmanned aerial vehicles: Opportunities and challenges,"Y. Zeng, R. Zhang, and T. J. Lim, ",18 May 2016,16002751,10.1109/MCOM.2016.7470933,1894,IEEE,https://ieeexplore.ieee.org/document/7470933,NaN
35,Wireless informationand energy transfer in interference aware massive MIMO systems,"H. Wang, W. Wang, X. Chen, and Z. Zhang, ",12 February 2015,14919258,10.1109/GLOCOM.2014.7037192,19,IEEE,https://ieeexplore.ieee.org/document/7037192?arnumber=7037192,NaN
36,AI-assisted network-slicing based next-generationwireless networks,"X. Shen et al., ",03 February 2020,19387591,10.1109/OJVT.2020.2965100,90,IEEE,https://ieeexplore.ieee.org/document/8954683,NaN
37,"An incentive mechanism integrating jointpower, channel and link management for social-aware D2D contentsharing and proactive caching","C. Yi, S. Huang, and J. Cai, ",05 March 2018,17630120,10.1109/TMC.2017.2741481,49,IEEE,https://ieeexplore.ieee.org/document/8013127,NaN
38,On the effect of temporal correlation onjoint success probability and distribution of number of interferers inmobile UAV networks,"M. Salehi and E. Hossain, ",09 December 2019,19195545,10.1109/LWC.2019.2932435,4,IEEE,https://ieeexplore.ieee.org/document/8784235,NaN
39,Expedited neighbor discovery in direc-tional terahertz communication networks enhanced by antenna side-lobe information,"Q. Xia and J. M. Jornet, ",13 August 2019,18905432,10.1109/TVT.2019.2924820,23,IEEE,https://ieeexplore.ieee.org/document/8746670,NaN
40,"The D-OMA method for massivemultiple access in 6G: Performance, security, and challenges","Y. Al-Eryani and E. Hossain, ",19 August 2019,18905206,10.1109/MVT.2019.2919279,39,IEEE,http://ieeexplore.ieee.org/document/8760269/,NaN
41,"Flexible radio access beyond5G: A future projection on waveform, numerology, and frame designprinciples","Z. E. Ankarali, B. Peköz, and H. Arslan, ",26 September 2017,17246407,10.1109/ACCESS.2017.2684783,122,IEEE,http://ieeexplore.ieee.org/document/7883931/,NaN
42,Airplane-aided integrated networking for 6G wireless: Will it work,"X. Huang, J. A. Zhang, R. P. Liu, Y. J. Guo, and L. Hanzo, ",19 August 2019,18905209,10.1109/MVT.2019.2921244,67,IEEE,https://ieeexplore.ieee.org/document/8760401,NaN
43,6G: Connecting everything by1000 times price reduction,"S. Zhang, C. Xiang, and S. Xu, ",30 April 2020,19582160,10.1109/OJVT.2020.2980003,30,IEEE,https://ieeexplore.ieee.org/document/9034074,NaN
44,"6G:Opening new horizons for integration of comfort, security andintelligence","G. Gui, M. Liu, F. Tang, N. Kato, and F. Adachi, ",28 October 2020,20095341,10.1109/MWC.001.1900516,183,IEEE,https://ieeexplore.ieee.org/document/9023459,NaN
45,A key 6G challenge and opportunity—Connecting the base of the pyramid: A survey on rural connectivity,"E. Yaacoub and M. Alouini, ",13 April 2020,19527855,10.1109/JPROC.2020.2976703,75,IEEE,https://ieeexplore.ieee.org/document/9042251,NaN
46,AI-based joint optimizationof QoS and security for 6G energy harvesting Internet ofThings,"B. Mao, Y. Kawamoto, and N. Kato, ",12 August 2020,19869379,10.1109/JIOT.2020.2982417,46,IEEE,https://ieeexplore.ieee.org/document/9044345,NaN
47,Artificial intelligence-enabled cellular networks: A critical pathto beyond-5G and 6G,"R. Shafin, L. Liu, V. Chandrasekhar, H. Chen, J. Reed, and J. C. Zhang,",13 May 2020,19590614,10.1109/MWC.001.1900323,69,IEEE,http://ieeexplore.ieee.org/document/9040202/,NaN
48,Deeplearning-based mmWave beam selection for 5G NR/6G with sub-6 GHz channel information: Algorithms and prototype validation,"M. S. Sim, Y. Lim, S. H. Park, L. Dai, and C. Chae, ",19 March 2020,19464155,10.1109/ACCESS.2020.2980285,51,IEEE,https://ieeexplore.ieee.org/abstract/document/9034044,NaN
49,Future intelligent andsecure vehicular network toward 6G: Machine-learning approaches,"F. Tang, Y. Kawamoto, N. Kato, and J. Liu, ",23 January 2020,19296586,10.1109/JPROC.2019.2954595,191,IEEE,https://ieeexplore.ieee.org/document/8926369,NaN
50,HetMEC:Heterogeneous multi-layer mobile edge computing in the 6G era,"Y. Zhang, B. Di, P. Wang, J. Lin, and L. Song, ",16 April 2020,19626198,10.1109/TVT.2020.2975559,26,IEEE,https://ieeexplore.ieee.org/document/9006930,NaN
51,A survey of 5G network: Architecture andemerging technologies,"A. Gupta and E. R. K. Jha, ",,0,,0,IEEE,https://ieeexplore.ieee.org/document/7169508,
52,Towards massive connectivity support for scal-able mMTC communications in 5G networks,"C. Bockelmann et al., ",18 June 2018,17829625,10.1109/ACCESS.2018.2837382,131,IEEE,http://ieeexplore.ieee.org/document/8360103/,
53,"Big data analytics, machine learning, and artificial intelligence in next-generation wireless networks","M. G. Kibria, K. Nguyen, G. P. Villardi, O. Zhao, K. Ishizu, and F. Kojima,",28 June 2018,17905641,10.1109/ACCESS.2018.2837692,183,IEEE,https://ieeexplore.ieee.org/document/8360430,
54,Collaborative distributed Q-learning forRACH congestion minimization in cellular IoT networks,"S. K. Sharma and X. Wang, ",06 May 2019,18595867,10.1109/LCOMM.2019.2896929,35,IEEE,https://ieeexplore.ieee.org/document/8632974,
55,A very brief introduction to machine learning with appli-cations to communication systems,"O. Simeone, ",20 December 2018,0,10.1109/TCCN.2018.2881442,184,IEEE,https://ieeexplore.ieee.org/document/8542764,
56,An introduction to deep learning for the physi-cal layer,"T. O’Shea and J. Hoydis, ",19 December 2017,17525661,10.1109/TCCN.2017.2758370,1071,IEEE,https://ieeexplore.ieee.org/document/8054694,
57,Power of deep learning for channelestimation and signal detection in OFDM systems,"H. Ye, G. Y. Li, and B.-H. Juang, ",16 February 2018,17595984,10.1109/LWC.2017.2757490,689,IEEE,https://ieeexplore.ieee.org/document/8052521,
58,Deep reinforcement learning for resource allocationin V2V communications,"H. Ye and G. Y. Li, ",31 July 2018,17971374,10.1109/ICC.2018.8422586,86,IEEE,http://ieeexplore.ieee.org/document/8422586/,
59,Propagationchannels for mmWave vehicular communications: State-of-the-art andfuture research directions,"F. Jameel, S. Wyne, S. J. Nawaz, and Z. Chang, ",13 February 2019,18469754,10.1109/MWC.2018.1800174,42,IEEE,https://ieeexplore.ieee.org/iel7/7742/7593426/08594703.pdf,
60,Machine learningfor vehicular networks: Recent advances and application examples,"H. Ye, L. Liang, G. Y. Li, J. Kim, L. Lu, and M. Wu, ",21 May 2018,17768300,10.1109/MVT.2018.2811185,149,IEEE,https://ieeexplore.ieee.org/document/8345672,
61,Deep learningconvolutional neural networks for radio identification,"S. Riyaz, K. Sankhe, S. Ioannidis, and K. Chowdhury, ",17 September 2018,18094844,10.1109/MCOM.2018.1800153,110,IEEE,https://ieeexplore.ieee.org/document/8466371,
62,On a novel deep-learning-based intelligent partially overlapping channel assignment inSDN-IoT,"F. Tang, B. Mao, Z. M. Fadlullah, and N. Kato, ",17 September 2018,18094850,10.1109/MCOM.2018.1701227,71,IEEE,https://ieeexplore.ieee.org/document/8466360,
63,Enabling cognitive smart citiesusing big data and machine learning: Approaches and challenges,"M. Mohammadi and A. Al-Fuqaha, ",13 February 2018,17578019,10.1109/MCOM.2018.1700298,152,IEEE,https://ieeexplore.ieee.org/document/8291121,
64,Quantum algorithms for wireless communications,"P. Botsinis et al., ",31 May 2019,18726267,10.1109/COMST.2018.2882385,34,IEEE,https://ieeexplore.ieee.org/document/8540839,
65,EXIT-chart aided quantum code design improvesthe normalised throughput of realistic quantum devices,"H. V. Nguyen et al., ",06 May 2019,16606904,10.1109/ACCESS.2016.2591910,20,IEEE,https://ieeexplore.ieee.org/document/7515170,
66,Quantum-aided multi-objective routing optimizationusing back-tracing-aided dynamic programming,"D. Alanis et al., ",06 May 2019,17991417,10.1109/TVT.2018.2822626,4,IEEE,http://ieeexplore.ieee.org/document/8329527/,
67,Quantum turbo decoding for quantum channelsexhibiting memory,"M. A. M. Izhar et al., ",06 May 2019,17649172,10.1109/ACCESS.2018.2808373,3,IEEE,https://ieeexplore.ieee.org/abstract/document/8299427/,
68,Quantum-assisted indoor localization for uplink mm-Wave and downlink visible light communication systems,"P. Botsinis et al., ",06 May 2019,17381089,10.1109/ACCESS.2017.2733557,12,IEEE,http://ieeexplore.ieee.org/document/7997701/,
69,Quantum-assisted joint multi-objective routing and load balancing forsocially-aware networks,"D. Alanis, J. Hu, P. Botsinis, Z. Babar, S. X. Ng, and L. Hanzo,",06 May 2019,16606979,10.1109/ACCESS.2016.2629671,11,IEEE,https://ieeexplore.ieee.org/document/7745885,
70,Joint quantum-assisted channel estimation and data detection,"P. Botsinis, D. Alanis, Z. Babar, S. X. Ng, and L. Hanzo, ",06 May 2019,16470581,10.1109/ACCESS.2016.2591903,13,IEEE,http://ieeexplore.ieee.org/abstract/document/7515148/,
71,Quantum-aided multi-user transmission innon-orthogonal multiple access systems,"P. Botsinis et al., ",06 May 2019,16470590,10.1109/ACCESS.2016.2591904,20,IEEE,https://ieeexplore.ieee.org/document/7515210,
72,Millimeter-wave communication with out-of-band information,"N. Gonzalez-Prelcic, A. Ali, V. Va, and R. W. Heath, Jr., ",13 December 2017,17446971,10.1109/MCOM.2017.1700207,54,IEEE,http://ieeexplore.ieee.org/document/8198818,
73,Energy and spectral effi-ciency of very large multiuser MIMO systems,"H. Q. Ngo, E. G. Larsson, and T. L. Marzetta, ",07 May 2013,13487669,10.1109/TCOMM.2013.020413.110848,2034,IEEE,https://ieeexplore.ieee.org/document/6457363,
74,Optimal cell load and throughput in green small cellnetworks with generalized cell association,"C. Liu and L. Wang, ",19 May 2016,16003650,10.1109/JSAC.2016.2520218,53,IEEE,https://ieeexplore.ieee.org/document/7389350,
75,Network function virtualization: State-of-the-art andresearch challenges,"R. Mijumbi, J. Serrat, J.-L. Gorricho, N. Bouten, F. De Turck, andR. Boutaba, ",23 May 2017,15730368,10.1109/COMST.2015.2477041,1121,IEEE,https://ieeexplore.ieee.org/document/7243304,
76,"Network slicing and softwarization: A survey on principles, enablingtechnologies, and solutions","I. Afolabi, T. Taleb, K. Samdanis, A. Ksentini, and H. Flinck,",21 August 2018,18075844,10.1109/COMST.2018.2815638,444,IEEE,https://ieeexplore.ieee.org/abstract/document/8320765,
77,Mobile edge com-puting: A survey,"N. Abbas, Y. Zhang, A. Taherkordi, and T. Skeie, ",09 February 2018,17577583,10.1109/JIOT.2017.2750180,944,IEEE,https://ieeexplore.ieee.org/document/8030322,
78,Intelligent 5G: When cellular networks meet artificialintelligence,"R. Li et al., ",27 October 2017,17288679,10.1109/MWC.2017.1600304WC,280,IEEE,https://ieeexplore.ieee.org/document/7886994,
79,Live data analytics with collaborative edgeand cloud processing in wireless IoT networks,"S. K. Sharma and X. Wang, ",24 April 2017,16811571,10.1109/ACCESS.2017.2682640,146,IEEE,https://ieeexplore.ieee.org/document/7882669,
80,5G-enabledtactile Internet,"M. Simsek, A. Aijaz, M. Dohler, J. Sachs, and G. Fettweis, ",10 March 2016,15840278,10.1109/JSAC.2016.2525398,510,IEEE,https://ieeexplore.ieee.org/document/7403840,
81,Dynamic spectrum sharing in 5G wireless networks withfull-duplex technology: Recent advances and research challenges,"S. K. Sharma, T. E. Bogale, L. B. Le, S. Chatzinotas, X. Wang, andB. Ottersten, ",23 February 2018,17599758,10.1109/COMST.2017.2773628,114,IEEE,https://ieeexplore.ieee.org/document/8110617,
82,UAV trajectory optimization for data offloading atthe edge of multiple cells,"F. Cheng et al., ",16 July 2018,17932950,10.1109/TVT.2018.2811942,197,IEEE,https://ieeexplore.ieee.org/document/8309339,
83,Spatialspectrum sharing for satellite and terrestrial communication networks,"C. Zhang, C. Jiang, L. Kuang, J. Jin, Y. He, and Z. Han, ",07 June 2019,18737032,10.1109/TAES.2018.2889585,28,IEEE,https://ieeexplore.ieee.org/document/8633412,
84,Analysis of spectrum occupancy usingmachine learning algorithms,"F. Azmat, Y. Chen, and N. Stocks, ",15 September 2016,16316592,10.1109/TVT.2015.2487047,64,IEEE,https://ieeexplore.ieee.org/document/7289481,
85,A survey of energy-efficient techniques for 5G networks and challengesahead,"S. Buzzi, C.-L. I, T. E. Klein, H. V. Poor, C. Yang, and A. Zappone,",10 May 2016,15985567,10.1109/JSAC.2016.2550338,463,IEEE,https://ieeexplore.ieee.org/document/7446253,
86,A new wireless communication paradigm through software-controlled metasurfaces,"C. Liaskos, S. Nie, A. Tsioliaridou, A. Pitsillides, S. Ioannidis, andI. Akyildiz, ",17 September 2018,18128617,10.1109/MCOM.2018.1700659,398,IEEE,https://ieeexplore.ieee.org/document/8466374,
87,Simultaneous wireless information and power transfer (SWIPT):Recent advances and future challenges,"T. D. P. Perera, D. N. K. Jayakody, S. K. Sharma, S. Chatzinotas, andJ. Li, ",23 February 2018,17599764,10.1109/COMST.2017.2783901,379,IEEE,https://ieeexplore.ieee.org/document/8214104,
88,Proactive content caching byexploiting transfer learning for mobile edge computing,"T. Hou, G. Feng, S. Qin, and W. Jiang, ",15 January 2018,17506199,10.1109/GLOCOM.2017.8254636,42,IEEE,https://ieeexplore.ieee.org/document/8254636,
89,Mobility-aware edge caching and computingin vehicle networks: A deep reinforcement learning,"L. T. Tan and R. Q. Hu, ",12 November 2018,18246142,10.1109/TVT.2018.2867191,181,IEEE,http://ieeexplore.ieee.org/document/8447267/,
90,A wireless optical backhaul solutionfor optical attocell networks,"H. Kazemi, M. Safari, and H. Haas, ",11 February 2019,18470404,10.1109/TWC.2018.2883465,20,IEEE,https://ieeexplore.ieee.org/document/8558716,
91,Shared access satellite-terrestrial reconfigurable back-haul network enabled by smart antennas at mmwave band,"X. Artiga et al., ",27 September 2018,18129595,10.1109/MNET.2018.1800030,16,IEEE,https://ieeexplore.ieee.org/document/8473481,
92,Distributed caching enabled peak trafficreduction in ultra-dense IoT networks,"S. K. Sharma and X. Wang, ",08 June 2018,17838960,10.1109/LCOMM.2018.2810211,12,IEEE,http://ieeexplore.ieee.org/abstract/document/8303180/,
93,A surveyof physical layer security techniques for 5G wireless networks and chal-lenges ahead,"Y. Wu, A. Khisti, C. Xiao, G. Caire, K.-K. Wong, and X. Gao, ",09 July 2018,17932626,10.1109/JSAC.2018.2825560,326,IEEE,https://ieeexplore.ieee.org/document/8335290,
94,Machine learning and deep learning methods for cyberse-curity,"Y. Xin et al., ",16 July 2018,17905844,10.1109/ACCESS.2018.2836950,325,IEEE,https://ieeexplore.ieee.org/document/8359287,
95,Lightweight quantum encryption forsecure transmission of power data in smart grid,"Y. Li, P. Zhang, and R. Huang, ",28 March 2019,18559602,10.1109/ACCESS.2019.2893056,16,IEEE,https://ieeexplore.ieee.org/document/8620559,
96,Neural network basedMIMO-OFDM channel equalizer using comb-type pilot arrangement,"S. J. Nawaz, S. Mohsin, and A. A. Ikaram, ",04 August 2009,10804477,10.1109/ICFCC.2009.136,15,IEEE,http://ieeexplore.ieee.org/abstract/document/5189738,
97,Airborne Internet access through submarine optical fiber cables,"S. J. Nawaz, N. M. Khan, M. I. Tiwana, N. Hassan, and S. I. Shah,",07 April 2015,15038599,10.1109/TAES.2014.130416,13,IEEE,https://ieeexplore.ieee.org/document/7073483,
98,Echo state networks forproactive caching in cloud-based radio access networks with mobileusers,"M. Chen, W. Saad, C. Yin, and M. Debbah, ",09 June 2017,16961622,10.1109/TWC.2017.2683482,120,IEEE,https://ieeexplore.ieee.org/abstract/document/7880663,
99,Joint transmit/receive antenna selection for MIMO systems:A real-valued genetic approach,"J.-K. Lain, ",13 January 2011,11746850,10.1109/LCOMM.2010.120610.101741,17,IEEE,https://ieeexplore.ieee.org/iel5/4234/5685628/05665741.pdf,
100,Selecting array con-figurations for MIMO systems: An evolutionary computation approach,"P. D. Karamalis, N. D. Skentos, and A. G. Kanatas, ",03 January 2005,8258804,10.1109/TWC.2004.837447,30,IEEE,http://ieeexplore.ieee.org/document/1374907/,
101,Power control of cellularradio systems via robust Smith prediction filter,"B.-K. Lee, H.-W. Chen, and B.-S. Chen, ",18 October 2004,8155807,10.1109/TWC.2004.834705,39,IEEE,http://ieeexplore.ieee.org/abstract/document/1343917/,
102,Joint receive antenna selection and symboldetection for MIMO systems: A heterogeneous genetic approach,"H. Y. Lu and W. H. Fang, ",13 February 2009,10475211,10.1109/LCOMM.2009.081036,7,IEEE,http://ieeexplore.ieee.org/document/4783770,
103,Deep learning in physicallayer communications,"Z. Qin, H. Ye, G. Y. Li, and B.-H. F. Juang, ",26 April 2019,18621104,10.1109/MWC.2019.1800601,221,IEEE,https://ieeexplore.ieee.org/abstract/document/8663966,
104,"Learning radio resource management in RANs: Framework,opportunities, and challenges","F. D. Calabrese, L. Wang, E. Ghadimi, G. Peters, L. Hanzo, andP. Soldati, ",17 September 2018,18094842,10.1109/MCOM.2018.1701031,67,IEEE,https://ieeexplore.ieee.org/document/8466370,
105,A novel PAPR reduction scheme forOFDM system based on deep learning,"M. Kim, W. Lee, and D.-H. Cho, ",08 March 2018,17614405,10.1109/LCOMM.2017.2787646,107,IEEE,https://ieeexplore.ieee.org/document/8240644,
106,Learn-ing to optimize: Training deep neural networks for wireless resourcemanagement,"H. Sun, X. Chen, Q. Shi, M. Hong, X. Fu, and N. D. Sidiropoulos, ",21 December 2017,17451560,10.1109/SPAWC.2017.8227766,149,IEEE,https://ieeexplore.ieee.org/document/8227766,
107,Online energy-efficient powercontrol in wireless networks by deep neural networks,"A. Zappone, M. Debbah, and Z. Altman, ",27 August 2018,18054053,10.1109/SPAWC.2018.8445857,22,IEEE,https://ieeexplore.ieee.org/document/8445857,
108,A survey on transfer learning,"S. J. Pan and Q. Yang, ",19 August 2010,11476836,10.1109/TKDE.2009.191,9400,IEEE,https://ieeexplore.ieee.org/document/5288526,
109,Cognitive radio techniques under practical imperfections:A survey,"S. K. Sharma, T. E. Bogale, S. Chatzinotas, B. Ottersten, L. B. Le, andX. Wang, ",23 May 2017,15602554,10.1109/COMST.2015.2452414,155,IEEE,https://ieeexplore.ieee.org/document/7147789,
110,Machine learn-ing techniques for cooperative spectrum sensing in cognitive radio net-works,"K. Thilina, K. W. Choi, N. Saquib, and E. Hossain, ",17 October 2013,13843215,10.1109/JSAC.2013.131120,249,IEEE,https://ieeexplore.ieee.org/document/6635250,
111,Intelligentpower control for spectrum sharing in cognitive radios: A deep rein-forcement learning approach,"X. Li, J. Fang, W. Cheng, H. Duan, Z. Chen, and H. Li, ",24 May 2018,17773748,10.1109/ACCESS.2018.2831240,80,IEEE,https://ieeexplore.ieee.org/document/8352517,
112,Spectrum sharingoptimization in cellular networks under target performance and budgetrestriction,"M. Asaduzzaman, R. Abozariba, and M. N. Patwary, ",16 November 2017,17375755,10.1109/VTCSpring.2017.8108226,2,IEEE,https://ieeexplore.ieee.org/document/8108226,
113,A survey on machine-learningtechniques in cognitive radios,"M. Bkassiny, Y. Li, and S. K. Jayaweera, ",31 July 2013,13685876,10.1109/SURV.2012.100412.00017,327,IEEE,https://ieeexplore.ieee.org/document/6336689,
114,Machine learning for cognitive network management,"S. Ayoubi et al., ",12 January 2018,17489648,10.1109/MCOM.2018.1700560,102,IEEE,http://ieeexplore.ieee.org/document/8255757/,
115,Quantum communications: Explained for communication engi-neers,"S. Imre, ",16 August 2013,13694985,10.1109/MCOM.2013.6576335,24,IEEE,http://ieeexplore.ieee.org/abstract/document/6576335/,
