,id,title,keywords
154,-1,An introductory review on quantumgame theory,quantum
155,-1,Qubit devices and the issue of quantum decoherence,quantum
156,-1,Exploiting randomness in quantum infor-mation processing,quantum
157,-1,A survey of the current status of research onquantum games,quantum
158,-1,Variations on classical andquantum extractors,quantum
159,167,The bounded-storage model in thepresence of a quantum adversary,quantum
160,166,Quantum-proof randomnessextractors via operator space theory,quantum
161,-1,Extracting randomness viarepeated condensing,
162,132,"Quantum search algorithms,quantum wireless, and a low-complexity maximum likelihood iterativequantum multi-user detector design","algorithm,wireless,quantum"
163,133,Low-complexity soft-output quantum-assisted multiuser detection for direct-sequence spread-ing and slow subcarrier-hopping aided SDMA-OFDM systems,"artificial inteligence,system,quantum"
164,134,Fixed-complexity quantum-assistedmulti-user detection for CDMA and SDMA,quantum
165,135,Iterativequantum-assisted multi-user detection for multi-carrier interleave divi-sion multiple access systems,"reinforced learning,system,quantum"
166,136,Quan-tum search-aided multi-user detection of IDMA-assisted multi-layeredvideo streaming,artificial inteligence
167,137,The impact of nodeselfishness on multicasting in delay tolerant networks,network
168,138,Quantum-assistedrouting optimization for self-organizing networks,"network,quantum"
169,139,Joint channel estimation anddata detection in MIMO-OFDM systems: A sparse Bayesian learningapproach,"data,system"
170,140,Joint channel estima-tion and multiuser detection for SDMA/OFDM based on dual repeatedweighted boosting search,
172,-1,"Quantum computing and super-vised machine learning: Training, model selection, and error estima-tion","artificial inteligence,machine learning,quantum"
173,-1,Quantum speed-up for unsuper-vised learning,quantum
174,-1,Quantum reinforce-ment learning,quantum
175,-1,Advances in quantumreinforcement learning,quantum
176,141,A quantum inspired reinforce-ment learning technique for beyond next generation wireless networks,"network,wireless,quantum"
177,-1,Towards quantum machine learning with tensor networks,"network,machine learning,quantum"
178,-1,A quantum machine learn-ing algorithm based on generative models,"algorithm,quantum"
179,-1,An algorithm of quantum restrictedboltzmann machine network based on quantum gates and its application,"network,algorithm,quantum"
180,-1,Quantumdeep learning neural networks,"network,deep learning,quantum"
181,142,Quantum neural networks(QNNs): Inherently fuzzy feedforward neural networks,"network,quantum"
182,-1,Quantum neural network,"network,quantum"
183,-1,Quantum neural networks,"network,quantum"
184,-1,Quantum perceptron models,quantum
185,-1,Quantum support vectormachine for big data classification,"data,quantum"
186,-1,Quantum sparse support vectormachines,quantum
187,143,Sparse representationfor wireless communications: A compressive sensing approach,wireless
188,-1,Application of quantumannealing to training of deep neural networks,"network,artificial inteligence,quantum"
189,-1,Quantum deep learn-ing,quantum
190,-1,Distributed secure quantum machine learn-ing,quantum
191,-1,A survey towards an integration of big data ana-lytics to big insights for value-creation,data
192,-1,Quantum gate learning in qubitnetworks: Toffoli gate without time-dependent control,"network,quantum"
193,-1,Quantum computing in the NISQ era and beyond,quantum
194,-1,"Future directions of quantum informationprocessing: A workshop on the emerging science and technology ofquantum computation, communication, and measurement",quantum
195,-1,Google moves toward quantum supremacy with 72-qubitcomputer,quantum
196,-1,A space-efficient quantum computer simulator suitable for high-speed FPGAimplementation,"artificial inteligence,quantum"
197,-1,A grid enabled quantum com-puter simulator,quantum
198,-1,Competitive cachingwith machine learned advice,cache
199,-1,A deep reinforcementlearning-based framework for content caching,"ram,cache"
200,144,Learn to cache:Machine learning for network edge caching in the big data era,"data,network,machine learning,cache"
201,-1,A quantumapproximate optimization algorithm,"algorithm,quantum"
202,145,Multi-objective routingoptimization using evolutionary algorithms,algorithm
203,-1,Multi-task learning as multi-objective optimiza-tion,
204,146,Quantum computing in big data analytics:A survey,"data,quantum"
205,-1,Emerging trends ofgreen IoT for smart world,"iot,reinforced learning,smart"
206,-1,Goinggreen with IoT for smart world-an overview,"iot,reinforced learning,smart"
207,147,A survey on network methodologies for real-time analytics of massiveIoT data and open research issues,"data,network,iot"
208,-1,Towardsthe science of security and privacy in machine learning,"machine learning,security"
209,-1,Machine learning based antennadesign for physical layer security in ambient backscatter communi-cations,"machine learning,security"
210,148,Training-based antenna selection for PER minimization: A POMDPapproach,artificial inteligence
211,149,Learning and data-driven beam selectionfor mmWave communications: An angle of arrival-based approach,"data,beam,wave"
212,150,Learning state selection for reconfig-urable antennas: A multi-armed bandit approach,
213,-1,Accelerating beamsweeping in mmWave standalone 5G new radios using recurrent neuralnetworks,"network,5g,beam,radio,wave"
214,-1,Machine learning algorithm forwireless indoor localization,"machine learning,algorithm,wireless"
215,151,Indoor localization usingvisible light via fusion of multiple classifiers,
216,-1,Terabit free-space data transmission employing orbitalangular momentum multiplexing,data
217,152,Adaptive demodulator using machinelearning for orbital angular momentum shift keying,
218,-1,Analysis of an adaptive orbital angular momentumshift keying decoder based on machine learning under oceanic turbulencechannels,machine learning
219,-1,Ubiquitous cell-free massive MIMOcommunications,
220,-1,OFDM-Autoencoder for end-to-end learning of communications sys-tems,
221,153,"Learning to communicate:Channel auto-encoders, domain specific regularizers, and attention",artificial inteligence
222,-1,Deep learn-ing based MIMO communications,
223,154,Deep learningbased communication over the air,"artificial inteligence,deep learning"
224,-1,End-to-end learning of com-munications systems without a channel model,system
225,155,Dictionary learning-based sparse channel repre-sentation and estimation for FDD massive MIMO systems,system
227,156,On the performance of non-orthogonal multiple access in 5G systems with randomly deployed users,"5g,machine learning,system"
228,-1,Embracingnon-orthogonalmultiple access in future wireless networks,"network,wireless"
229,157,NOMA based resource allocation and mobility enhancement frameworkfor IoT in next generation cellular networks,"network,iot,ram"
230,158,Detec-tion for 5G-NOMA: An online adaptive machine learning approach,"5g,machine learning"
231,-1,The application of machine learningin mmWave-NOMA systems,"machine learning,system,wave"
232,159,Deep learning for an effec-tive nonorthogonal multiple access scheme,deep learning
233,-1,On the performanceand optimization for MEC networks using uplink NOMA,network
234,160,Delay minimizationfor NOMA-MEC offloading,
235,161,Applications ofmachine learning to cognitive radio networks,"network,machine learning,radio"
236,-1,Role of artificial intelligence in cog-nitive radio networks,"network,radio"
